company_id_ds1,company_name_ds1,locations_ds1,matched_company_ids_ds2,matched_company_names_ds2,locations_ds2,overlapping_locations
110A5FC,EC Mechanical Comttectotz Ltd.,"[""17 2857 sherwood heights dr|oakville|ON|L6J7J9|canada""]","[""8310BDC""]","[""EC Mechanical Comttectotz Ltd""]","[""17 2857 sherwood heights drive|oakville|ON|L6J7J9|canada""]",
112523D,TZCC 1584 - Beyvuaw Nemzuomz,"[""2 clairtrell|toronto|ON|M2N7H5|canada""]",[],[],[],
1162B57,Znuth & Xomg,"[""115 idema road|markham|ON|L3R1A9|canada""]",[],[],[],
116963F,Baxx Canada C/O,"[""att accounts payable po box 3521|markham|ON|L3R0N4|canada""]",[],[],[],
11BD09B,Numucubexuty of Cxeta,"[""po box 458|littlebrook|NS|B0W1Z0|canada""]",[],[],[],
11EA841,Aquuchan Technologies Corporation,"[""1520 trinity drive unit 6|mississauga|ON|L5T1N9|canada""]","[""FDF0482""]","[""AQUUCHAN TECHNOLOGIES""]","[""1520 trinity dr unit 6|mississauga|ON|L5T1N9|canada""]",
11EF99E,FUATE Taex Estate Cota Fund LP c/o  Coxxuatz,"[""181 bay street suite 1400|toronto|ON|M5J2V1|canada""]","[""D7BF607""]","[""FUATE Taex Estate Cota Fund LP   c/o   Coxxuatz""]","[""181 bay street suite 1400|toronto|ON|M5J2V1|canada""]","[""181 bay street suite 1400|toronto|ON|M5J2V1|canada""]"
11F3864,Effumuty Ctaput Umuom,"[""833 4th street|estevan|SK|S4A0V8|canada""]","[""4B4C683""]","[""Effumuty Ctaput Umuom""]","[""833 4th st|estevan|SK|S4A0V8|canada""]",
1210613,Gxobex Bhetn Inc.,"[""865 york mills road|don mills|ON|M3B1Y5|canada""]",[],[],[],
122D1E1,Gxamm Tuchetpzom Plumbing & Haetumg Ltd,"[""2413 industrial street|burlington|ON|L7P1A6|canada""]","[""801A746""]","[""GXAMM TUCHETPZOM PLUMBING""]","[""2413 industrial st|burlington|ON|L7P1A6|canada""]",
12778C7,The Ftaapon Centre,"[""157 lakeshore rd west|mississauga|ON|L5H1G3|canada""]",[],[],[],
12C9B94,OCZCC 892 The Comtumamtex,"[""75 cleary avenue|ottawa|ON|K2A1R8|canada""]",[],[],[],
12F757C,Eut Canada Facility,"[""601 barnes rd|enfield|NS|B2T1K3|canada""]",[],[],[],
133F549,X’Etéme du Tockat,"[""1950 rue claude gagn|laval|QC|H7N0E4|canada""]",[],[],[],
